id,firstname,lastname,full_name,birthday,age,weight,height,foot,club,national_team,country_of_birth,city_of_birth,position,role,status,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,matches_played,total_shots,accurate_shots,shot_accuracy,goals,shot_conversion,penalties_taken,penalties_scored,penalty_conversion,total_passes,accurate_passes,pass_accuracy,key_passes,assists,run_attempts_with_ball,successful_runs_with_ball,perc_successful_runs_with_ball,crosses,dribbles,free_kick_shots,free_kick_crosses,aerial_duels,aerial_duels_won,perc_aerial_duels_won,ground_defensive_duels_won,loose_ball_duels,loose_balls_won,perc_loose_balls_won,sliding_tackles,interceptions,clearances,blocks,possession_regained,own_goals,gk_balls_attacked,gk_save_attempts,gk_successful_save_attempts,perc_gk_save_success,cluster,top_knn_ids
77,niklas,moisander,niklas moisander,9/29/1985,31,75,183,left,sv werder bremen,,Finland,Turku,DF,CB,Active,300000,6500000,12/31/2023 0:00,,https://img.a.transfermarkt.technology/portrait/header/5017-1535124028.jpg?lm=1,25,14,6,42.90%,2,14.30%,0,0,0.00%,1416,1247,88.10%,1,0,7,7,100.00%,4,12,0,0,84,39,46.40%,38,60,43,71.70%,17,163,0,5,182,1,0,0,0,0.00%,11,[ 25883  25557   3788  14778 352988  29474  25726 231138 134502   4360]
91,charlison,benschop,charlison benschop,8/21/1989,27,91,191,right,hannover 96,,Netherlands Antilles,Willemstad,FW,CF,Active,350000,2000000,6/30/2023 0:00,NOACK SPORTS GmbH,https://img.a.transfermarkt.technology/portrait/header/66783-1567020291.jpg?lm=1,7,5,1,20.00%,1,20.00%,0,0,0.00%,52,38,73.10%,0,0,0,0,0.00%,0,1,0,0,16,7,43.80%,2,11,5,45.50%,1,6,0,0,9,0,0,0,0,0.00%,19,[337799 272436 391439 104745 351808  70379  26033 263591 145014 216568]
99,przemyslaw,tyton,przemyslaw tyton,1/4/1987,29,83,194,right,real club deportivo de la coruna,,Poland,Zamosc,GK,GK,Active,300000,5000000,6/30/2024 0:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/33210-1618656372.jpg?lm=1,2,0,0,0.00%,0,0.00%,0,0,0.00%,13,12,92.30%,0,0,0,0,0.00%,0,0,0,0,0,0,0.00%,0,0,0,0.00%,0,1,0,0,1,0,1,5,1,20.00%,20,[ 20771 229078  14794  21128 333477   6363 149050  20606 286981 190168]
102,marcelo antonio,guedes filho,marcelo antonio guedes filho,5/20/1987,29,85,191,right,olympique lyonnais,,Brazil,São Vicente,DF,CB,Active,800000,9000000,6/30/2024 0:00,,https://img.a.transfermarkt.technology/portrait/header/52920-1437558077.jpg?lm=1,35,20,9,45.00%,3,15.00%,0,0,0.00%,2070,1863,90.00%,2,1,2,1,50.00%,1,1,0,0,204,150,73.50%,55,84,50,59.50%,9,227,0,2,236,1,0,0,0,0.00%,17,[  5472   3276  25553   4303  14991 344068   8833 225996  70959 138408]
107,erik,pieters,erik pieters,8/7/1988,28,86,182,left,stoke city fc,,Netherlands,Tiel,DF,LB,Active,400000,7000000,6/30/2023 0:00,Unique Sports Group,https://img.a.transfermarkt.technology/portrait/header/43763-1467639125.jpg?lm=1,31,3,1,33.30%,0,0.00%,0,0,0.00%,1041,771,74.10%,6,0,10,7,70.00%,21,24,0,0,113,58,51.30%,75,107,51,47.70%,6,213,0,15,222,0,0,0,0,0.00%,9,[232822  14852 279545   4424 328336 334720   3534 143566 143566  70451]
110,jetro,willems,jetro willems,3/30/1994,22,65,169,left,eintracht frankfurt,,Netherlands,Rotterdam,DF,LB,Active,800000,10000000,6/30/2023 0:00,,https://img.a.transfermarkt.technology/portrait/header/146258-1657044927.jpg?lm=1,23,17,7,41.20%,0,0.00%,0,0,0.00%,576,441,76.60%,14,2,9,9,100.00%,20,42,2,12,46,18,39.10%,41,56,27,48.20%,8,99,0,17,117,0,0,0,0,0.00%,9,[ 21550  56009    454  25532  22107 135901  25457 134540   8292 215281]
114,kevin,strootman,kevin strootman,2/13/1990,26,78,186,left,as roma,,Netherlands,Ridderkerk,MD,CM,Active,1300000,28000000,6/30/2024 0:00,SEG,https://img.a.transfermarkt.technology/portrait/header/68864-1661426336.jpg?lm=1,32,21,6,28.60%,1,4.80%,0,0,0.00%,1392,1203,86.40%,5,0,11,10,90.90%,14,20,0,2,64,32,50.00%,40,100,45,45.00%,15,91,0,8,117,0,0,0,0,0.00%,1,[ 25888  11152  14754  28291 272440  37739 346195 260002  40726   3470]
116,georginio,wijnaldum,georginio wijnaldum,11/11/1990,26,74,175,right,liverpool fc,,Netherlands,Rotterdam,MD,CM,Active,12000000,50000000,6/30/2023 0:00,Football Mix B.V.,https://img.a.transfermarkt.technology/portrait/header/49499-1469085417.jpg?lm=1,33,36,8,22.20%,1,2.80%,0,0,0.00%,1225,1114,90.90%,3,1,27,25,92.60%,4,31,1,0,54,21,38.90%,38,83,32,38.60%,1,90,0,15,93,0,0,0,0,0.00%,1,[ 41056   3318  28122   3543  86301 209091 356237  40550  16110 265172]
118,memphis,depay,memphis depay,2/13/1994,22,78,176,right,olympique lyonnais,,Netherlands,Moordrecht,FW,CF,Active,16000000,55000000,6/30/2025 0:00,TEAM DEPAY,https://img.a.transfermarkt.technology/portrait/header/167850-1668167349.jpg?lm=1,36,82,37,45.10%,15,18.30%,2,2,100.00%,1116,901,80.70%,14,9,48,46,95.80%,25,107,8,11,48,9,18.80%,15,93,33,35.50%,3,47,0,36,67,0,0,0,0,0.00%,4,[   118  25707    118    118 300485  40810  25622  25860  21385  21077]
120,jurgen,locadia,jurgen locadia,11/7/1993,23,78,185,right,brighton & hove albion fc,,Netherlands,Emmen,FW,CF,Active,1800000,15000000,12/31/2023 0:00,Archana Mahabiersing,https://img.a.transfermarkt.technology/portrait/header/166240-1618656133.jpg?lm=1,6,4,1,25.00%,1,25.00%,0,0,0.00%,45,31,68.90%,0,1,4,4,100.00%,1,5,0,0,18,2,11.10%,2,9,4,44.40%,0,6,0,4,10,0,0,0,0,0.00%,18,[397098 285509 255320   8049 239298 450784 213387 412701 343729  15278]
122,dries,mertens,dries mertens,5/6/1987,29,61,169,right,ssc napoli,belgium,Belgium,Leuven,FW,CF,Active,3300000,32000000,6/30/2024 0:00,Stirr Associates,https://img.a.transfermarkt.technology/portrait/header/56416-1671109411.png?lm=1,49,120,49,40.80%,14,11.70%,5,4,80.00%,1177,896,76.10%,36,7,16,13,81.20%,23,96,3,0,44,6,13.60%,29,95,31,32.60%,8,55,0,47,87,0,0,0,0,0.00%,4,[ 89186  28115 120353   7972  26638   3840  25776  25770   8278  11066]
123,ola,toivonen,ola toivonen,7/3/1986,30,78,192,right,toulouse fc,sweden,Sweden,Degerfors,FW,AM,Active,,9000000,,Neverland Management,https://img.a.transfermarkt.technology/portrait/header/36500-1665126887.jpg?lm=1,28,20,6,30.00%,1,5.00%,0,0,0.00%,353,260,73.70%,4,1,4,4,100.00%,3,5,1,0,144,63,43.80%,9,79,25,31.60%,2,27,0,6,34,0,0,0,0,0.00%,10,[252589  26381  91519  26543 338201  26167   7970 215130  21861  26124]
130,stefan,de vrij,stefan de vrij,2/5/1992,24,78,189,right,ss lazio,,Netherlands,Ouderkerk aan den IJssel,DF,CB,Active,10000000,60000000,6/30/2023 0:00,,https://img.a.transfermarkt.technology/portrait/header/111196-1663572651.jpg?lm=1,36,12,8,66.70%,6,50.00%,0,0,0.00%,1507,1398,92.80%,1,0,4,4,100.00%,0,7,0,0,75,49,65.30%,42,65,44,67.70%,9,246,0,2,256,0,0,0,0,0.00%,17,[208694  14715  26399   3335  25864 288663   3463   4272  41363  21639]
132,terence,kongolo,terence kongolo,2/14/1994,22,70,188,left,huddersfield town fc,,Switzerland,Fribourg,DF,CB,Active,900000,15000000,6/30/2023 0:00,,https://img.a.transfermarkt.technology/portrait/header/152651-1514912743.jpg?lm=1,16,3,0,0.00%,0,0.00%,0,0,0.00%,426,325,76.30%,1,0,7,6,85.70%,6,9,0,0,67,41,61.20%,35,56,25,44.60%,26,89,0,4,117,0,0,0,0,0.00%,6,[105361   3464   4371   7978 105523  20588  20869   3750  49919  26373]
134,bruno,martins indi,bruno martins indi,2/8/1992,24,80,185,left,stoke city fc,,Portugal,Barreiro,DF,CB,Active,2200000,11500000,6/30/2025 0:00,Juzzt Football,https://img.a.transfermarkt.technology/portrait/header/112052-1629443870.jpg?lm=1,17,3,0,0.00%,0,0.00%,0,0,0.00%,357,290,81.20%,2,0,0,0,0.00%,2,3,0,0,60,31,51.70%,16,37,26,70.30%,5,72,0,1,80,0,0,0,0,0.00%,12,[247169  41124 413002 247150  70711   3372  18974 551398 278872  65880]
151,john,guidetti,john guidetti,4/15/1992,24,79,185,right,deportivo alaves,sweden,Sweden,Stockholm,FW,CF,Active,1200000,8000000,12/31/2025 0:00,,https://img.a.transfermarkt.technology/portrait/header/98596-1647530426.jpg?lm=1,30,31,14,45.20%,3,9.70%,0,0,0.00%,395,292,73.90%,5,3,5,5,100.00%,8,15,1,0,110,37,33.60%,7,98,33,33.70%,3,29,0,12,54,0,0,0,0,0.00%,10,[343951  26124  14763 282772  20796 145692  32636   8686 338201 215130]
159,jeffrey,gouweleeuw,jeffrey gouweleeuw,7/10/1991,25,78,188,right,fc augsburg,,Netherlands,Heemskerk,DF,CB,Active,3500000,12000000,6/30/2024 0:00,SEG,https://img.a.transfermarkt.technology/portrait/header/106405-1658599599.jpg?lm=1,27,14,2,14.30%,0,0.00%,0,0,0.00%,1098,898,81.80%,1,0,5,5,100.00%,6,16,0,0,139,72,51.80%,64,99,43,43.40%,12,156,0,2,171,0,0,0,0,0.00%,17,[ 11095  70507  49856   8488   3309   8889   3970   3695 215036   3496]
160,daryl,janmaat,daryl janmaat,7/22/1989,27,80,185,right,watford fc,,Netherlands,Leidschendam,DF,CB,Active,,7500000,,Wasserman,https://img.a.transfermarkt.technology/portrait/header/60744-1520606731.jpg?lm=1,23,23,9,39.10%,3,13.00%,0,0,0.00%,822,633,77.00%,6,0,12,10,83.30%,24,19,0,0,47,26,55.30%,40,48,24,50.00%,5,107,0,12,116,0,0,0,0,0.00%,13,[  1712  26285 489488  14888  32959  25700   4786  15798  16884 257028]
173,rajiv,van la parra,rajiv van la parra,6/4/1991,25,72,181,right,huddersfield town fc,,Netherlands,Rotterdam,MD,LW,Active,300000,4000000,6/30/2023 0:00,PowerHause SG,https://img.a.transfermarkt.technology/portrait/header/77001-1617110061.jpg?lm=1,33,40,14,35.00%,2,5.00%,1,1,100.00%,690,520,75.40%,6,0,55,51,92.70%,16,96,0,0,56,18,32.10%,34,95,30,31.60%,16,76,0,40,106,0,0,0,0,0.00%,4,[ 20751   3423 334552  20561   3645   3293   4513   8625   8945  14706]
179,luciano,narsingh,luciano narsingh,9/13/1990,26,75,175,right,swansea city afc,,Netherlands,Amsterdam,MD,RW,Active,400000,8000000,6/30/2023 0:00,Rafaela Pimenta,https://img.a.transfermarkt.technology/portrait/header/72462-1668791643.png?lm=1,18,9,5,55.60%,1,11.10%,0,0,0.00%,204,166,81.40%,4,0,15,14,93.30%,10,18,0,0,23,2,8.70%,5,20,6,30.00%,1,14,0,6,23,0,0,0,0,0.00%,18,[ 66654 243931 254188 288423 101592 354552 449921 366542 397303 278383]
254,roberto jose,rosales altuve,roberto jose rosales altuve,11/20/1988,28,71,175,right,malaga club de futbol,,Venezuela,Caracas,DF,RB,Active,450000,5000000,5/31/2023 0:00,Feeling Soccer,https://img.a.transfermarkt.technology/portrait/header/49500-1447239557.jpg?lm=1,35,14,3,21.40%,1,7.10%,0,0,0.00%,1475,1132,76.70%,12,0,7,7,100.00%,39,28,2,15,110,62,56.40%,73,78,34,43.60%,28,191,0,20,225,0,0,0,0,0.00%,13,[  8336   8313  28908 341973   9279  94695  14798  21001  82340 228963]
261,nacer,chadli,nacer chadli,8/2/1989,27,80,187,right,west bromwich albion fc,belgium,Belgium,Liège,MD,LW,Active,2500000,15000000,6/30/2023 0:00,,https://img.a.transfermarkt.technology/portrait/header/59631-1664281563.jpg?lm=1,11,5,3,60.00%,1,20.00%,0,0,0.00%,237,196,82.70%,2,1,6,5,83.30%,9,9,1,1,21,9,42.90%,5,11,3,27.30%,0,16,0,5,17,0,0,0,0,0.00%,5,[ 77557 366193 349687 245807 278513  16027  25865 149846 443324 246633]
262,leroy,fer,leroy fer,1/5/1990,26,79,188,right,swansea city afc,,Netherlands,Zoetermeer,MD,DM,Active,500000,8500000,6/30/2023 0:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/63342-1669740399.png?lm=1,20,12,3,25.00%,1,8.30%,0,0,0.00%,587,490,83.50%,1,1,13,13,100.00%,0,25,0,0,76,46,60.50%,26,82,28,34.10%,24,56,0,3,87,0,0,0,0,0.00%,14,[  7932  21288  25470   8351 134369  25650   8249  15811  20655 279734]
284,mike,van der hoorn,mike van der hoorn,10/15/1992,24,81,190,right,swansea city afc,,Netherlands,Almere,DF,CB,Active,1500000,3500000,6/30/2024 0:00,V4S,https://img.a.transfermarkt.technology/portrait/header/187105-1629450865.jpg?lm=1,24,9,4,44.40%,1,11.10%,0,0,0.00%,829,669,80.70%,0,0,2,2,100.00%,4,5,0,0,118,63,53.40%,37,62,33,53.20%,14,140,0,3,156,0,0,0,0,0.00%,7,[  3407  16443   6365  99661 278288   8136  29291 134392  22883 410062]
340,rhu-endly,martina,rhu-endly martina,9/25/1989,27,77,185,right,stoke city fc,,Netherlands,Rotterdam,DF,RB,Active,300000,2500000,6/30/2024 0:00,Soccer4Future,https://img.a.transfermarkt.technology/portrait/header/91251-1418856700.jpg?lm=1,21,3,1,33.30%,0,0.00%,0,0,0.00%,829,657,79.30%,5,2,8,8,100.00%,25,5,0,2,74,28,37.80%,55,83,33,39.80%,11,159,0,5,175,0,0,0,0,0.00%,9,[ 29588 343685   8501  20842  24838  14853  26495 146590 131184 300784]
354,krisztian,nemeth,krisztian nemeth,1/5/1989,27,74,180,right,,,Hungary,Győr,FW,CF,Retired,300000,2000000,6/30/2023 0:00,Vladan Filipovic,https://img.a.transfermarkt.technology/portrait/header/48262-1583080641.png?lm=1,2,1,1,100.00%,0,0.00%,0,0,0.00%,41,29,70.70%,0,0,1,1,100.00%,1,1,0,0,4,3,75.00%,1,4,1,25.00%,2,3,0,0,5,0,0,0,0,0.00%,15,[287003  80019   5383 437636  82266  20506   3599  62091   4343 531655]
370,virgil,van dijk,virgil van dijk,7/8/1991,25,92,193,right,liverpool fc,,Netherlands,Breda,DF,CB,Active,45000000,100000000,6/30/2025 0:00,ROOF,https://img.a.transfermarkt.technology/portrait/header/139208-1620651710.jpg?lm=1,26,23,5,21.70%,0,0.00%,0,0,0.00%,1635,1482,90.60%,2,0,3,3,100.00%,1,4,1,0,230,152,66.10%,38,75,50,66.70%,8,163,0,3,174,0,0,0,0,0.00%,11,[  7887  68085   3523 366581   7918  20635  22732  15806   7914  15449]
382,hyun-jun,suk,hyun-jun suk,6/29/1991,25,82,190,right,esperance sportive troyes aube champagne,,"Korea, South","Chungju, Chungbuk",FW,CF,Active,,4000000,,USM GROUP ,https://img.a.transfermarkt.technology/portrait/header/129990-1525081774.jpg?lm=1,26,27,10,37.00%,6,22.20%,0,0,0.00%,230,150,65.20%,1,0,7,5,71.40%,5,22,0,0,177,89,50.30%,2,84,25,29.80%,5,16,0,13,38,0,0,0,0,0.00%,10,[ 72397  20692  25517 134249  12536 228765   4048  14760 447821 135150]
394,bram,nuytinck,bram nuytinck,5/4/1990,26,80,190,left,udinese calcio,,Netherlands,Malden,DF,CB,Active,2000000,5000000,6/30/2023 0:00,Wasserman,https://img.a.transfermarkt.technology/portrait/header/104597-1672649196.jpg?lm=1,27,12,1,8.30%,1,8.30%,0,0,0.00%,1177,1039,88.30%,0,1,1,1,100.00%,0,1,0,0,95,51,53.70%,49,74,42,56.80%,7,164,0,3,173,0,0,0,0,0.00%,17,[ 25993  14917  25392 235606  25864   4272   3338  25523  20748  14715]
405,lasse,schone,lasse schone,5/27/1986,30,78,177,right,,denmark,Denmark,Taastrup,MD,DM,Active,300000,7000000,6/30/2024 0:00,Forza Sports Group,https://img.a.transfermarkt.technology/portrait/header/34784-1557319195.jpg?lm=1,3,4,1,25.00%,0,0.00%,1,0,0.00%,120,108,90.00%,0,0,0,0,0.00%,1,1,0,0,8,4,50.00%,2,6,3,50.00%,2,13,0,0,15,0,0,0,0,0.00%,19,[  8745 139075  14886  21019 399564 139080   4593   8624 282445  22158]
454,patrick,van aanholt,patrick van aanholt,8/29/1990,26,67,175,left,crystal palace fc,,Netherlands,'s-Hertogenbosch,DF,LB,Active,3200000,12000000,6/30/2024 0:00,Panthera Sports,https://img.a.transfermarkt.technology/portrait/header/52119-1671038110.png?lm=1,28,29,8,27.60%,5,17.20%,0,0,0.00%,914,694,75.90%,7,1,20,17,85.00%,12,24,3,4,17,9,52.90%,36,55,18,32.70%,3,112,0,17,120,0,0,0,0,0.00%,9,[   110  56009  25532  21550   8292  28907  25457  22107 135901 134540]
466,davy,propper,davy propper,9/2/1991,25,72,185,right,brighton & hove albion fc,,Netherlands,Arnhem,MD,CM,Active,700000,17000000,6/30/2024 0:00,V4S,https://img.a.transfermarkt.technology/portrait/header/79027-1674812468.jpg?lm=1,35,35,6,17.10%,0,0.00%,0,0,0.00%,1341,1083,80.80%,3,2,11,9,81.80%,4,39,0,0,101,41,40.60%,55,97,40,41.20%,18,219,0,15,242,0,0,0,0,0.00%,1,[ 15777  15256   7964 228980  20815   7988  20749  20448  90268  26311]
471,wilfried guemiand,bony,wilfried guemiand bony,12/10/1988,28,90,182,right,swansea city afc,,Cote d'Ivoire,Bingerville,FW,CF,Active,100000,25000000,,,https://img.a.transfermarkt.technology/portrait/header/81808-1476887603.jpg?lm=1,15,18,8,44.40%,2,11.10%,0,0,0.00%,154,115,74.70%,1,0,1,1,100.00%,0,8,0,0,117,48,41.00%,4,48,17,35.40%,4,19,0,3,33,0,0,0,0,0.00%,5,[234359 234533 328131  26008 135927 240042  99511  32572 101635 258264]
625,marten,de roon,marten de roon,3/29/1991,25,76,185,right,atalanta bergamasca calcio,,Netherlands,Zwijndrecht,MD,DM,Active,12000000,24000000,6/30/2024 0:00,SEG,https://img.a.transfermarkt.technology/portrait/header/133179-1663582942.jpg?lm=1,34,25,8,32.00%,2,8.00%,2,1,50.00%,1589,1396,87.90%,3,2,7,7,100.00%,4,8,0,0,117,55,47.00%,62,107,45,42.10%,18,149,0,5,170,0,0,0,0,0.00%,1,[217031 274344   8143 141172 241676   7585  20938 255738 413737  20815]
658,kristiano samuel,armenteros nunez mendoza jansson,kristiano samuel armenteros nunez mendoza jansson,5/27/1990,26,80,181,left,,,Sweden,Masthugg,FW,CF,Active,500000,2500000,6/30/2023 0:00,,https://img.a.transfermarkt.technology/portrait/header/55751-1520796971.JPG?lm=1,9,4,2,50.00%,1,25.00%,0,0,0.00%,66,53,80.30%,1,0,0,0,0.00%,0,2,0,0,30,9,30.00%,4,26,4,15.40%,0,5,0,0,11,0,0,0,0,0.00%,0,[274970 352328 239294 278324 268180  93331 149848     66   8374  16609]
703,maya,yoshida,maya yoshida,8/24/1988,28,78,189,right,southampton fc,japan,Japan,"Nagasaki, Nagasaki",DF,CB,Active,1500000,7000000,6/30/2023 0:00,CAA Base Ltd,https://img.a.transfermarkt.technology/portrait/header/81789-1657108603.jpg?lm=1,28,17,4,23.50%,2,11.80%,0,0,0.00%,1318,1146,86.90%,2,0,1,1,100.00%,1,1,0,0,137,87,63.50%,50,72,43,59.70%,11,171,0,2,182,0,0,0,0,0.00%,17,[  3695  49856  15178   8488 270866 257762    159   8731   3496  20583]
786,robert,mazan,robert mazan,2/9/1994,22,75,180,left,real club celta de vigo,slovakia,Slovakia,Trenčín,DF,LB,Active,250000,800000,,SPOCS Global Sports,https://img.a.transfermarkt.technology/portrait/header/181619-1551290644.png?lm=1,2,1,0,0.00%,0,0.00%,0,0,0.00%,75,67,89.30%,0,0,0,0,0.00%,2,0,0,0,1,1,100.00%,0,1,0,0.00%,0,4,0,0,4,0,0,0,0,0.00%,12,[ 21272 421809 212651 212651 212651 212651   3557  25988  32580   4789]
1712,kenny,tete,kenny tete,10/9/1995,21,71,180,right,olympique lyonnais,,Netherlands,Amsterdam,DF,RB,Active,12000000,12000000,6/30/2024 0:00,Rafaela Pimenta,https://img.a.transfermarkt.technology/portrait/header/206746-1599577236.jpg?lm=1,22,6,3,50.00%,1,16.70%,0,0,0.00%,863,716,83.00%,5,3,11,11,100.00%,23,22,0,0,44,26,59.10%,41,71,32,45.10%,26,76,0,10,106,0,0,0,0,0.00%,13,[   160 489488  14888  26285  32959  16884 257028  15798   4786  29748]
1722,viktor,fischer,viktor fischer,6/9/1994,22,71,180,right,,denmark,Denmark,Aarhus,FW,LW,Active,2000000,7000000,12/31/2023 0:00,ROYAL MANAGEMENT,https://img.a.transfermarkt.technology/portrait/header/95755-1666894982.jpg?lm=1,11,7,2,28.60%,0,0.00%,0,0,0.00%,107,85,79.40%,2,0,2,2,100.00%,1,14,0,0,14,3,21.40%,4,11,2,18.20%,0,9,0,4,11,0,0,0,0,0.00%,15,[222676  14730 403613  15804 243588 221452 114813 255935 237274 345707]
1729,riechedly,bazoer,riechedly bazoer,10/12/1996,20,74,184,right,vfl wolfsburg,,Netherlands,Utrecht,MD,CB,Active,3500000,15000000,6/30/2025 0:00,,https://img.a.transfermarkt.technology/portrait/header/216443-1629616778.jpg?lm=1,11,7,2,28.60%,0,0.00%,0,0,0.00%,236,204,86.40%,0,0,5,4,80.00%,1,8,0,0,13,3,23.10%,8,26,7,26.90%,6,10,0,4,18,0,0,0,0,0.00%,14,[ 26539 292310 173213 285457 100140 278813 476054  14855 240070   8533]
